id_colab,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,promotion_last_5years,job,salary,left,salary_encoded
4,0.72,0.87,5,223,5,0,0,sales,low,1,1
5,0.37,0.52,2,159,3,0,0,sales,low,1,1
7,0.1,0.77,6,247,4,0,0,sales,low,1,1
9,0.89,1.0,5,224,5,0,0,sales,low,1,1
10,0.42,0.53,2,142,3,0,0,sales,low,1,1
11,0.45,0.54,2,135,3,0,0,sales,low,1,1
12,0.11,0.81,6,305,4,0,0,sales,low,1,1
13,0.84,0.92,4,234,5,0,0,sales,low,1,1
14,0.41,0.55,2,148,3,0,0,sales,low,1,1
15,0.36,0.56,2,137,3,0,0,sales,low,1,1
16,0.38,0.54,2,143,3,0,0,sales,low,1,1
17,0.45,0.47,2,160,3,0,0,sales,low,1,1
19,0.45,0.51,2,160,3,1,1,sales,low,1,1
22,0.38,0.55,2,147,3,0,0,sales,low,1,1
23,0.09,0.95,6,304,4,0,0,sales,low,1,1
27,0.82,0.87,4,239,5,0,0,sales,low,1,1
29,0.41,0.46,2,128,3,0,0,accounting,low,1,1
34,0.45,0.55,2,140,3,0,0,hr,low,1,1
35,0.84,0.87,4,246,6,0,0,hr,low,1,1
36,0.1,0.94,6,255,4,0,0,technical,low,1,1
37,0.38,0.46,2,137,3,0,0,technical,low,1,1
38,0.45,0.5,2,126,3,0,0,technical,low,1,1
39,0.11,0.89,6,306,4,0,0,technical,low,1,1
40,0.41,0.54,2,152,3,0,0,technical,low,1,1
41,0.87,0.88,5,269,5,0,0,technical,low,1,1
44,0.1,0.8,7,281,4,0,0,technical,low,1,1
45,0.09,0.89,6,276,4,0,0,technical,low,1,1
46,0.84,0.74,3,182,4,0,0,technical,low,1,1
48,0.57,0.7,3,273,6,0,0,support,low,1,1
49,0.4,0.54,2,148,3,0,0,support,low,1,1
50,0.43,0.47,2,147,3,0,0,support,low,1,1
51,0.13,0.78,6,152,2,0,0,support,low,1,1
53,0.38,0.55,2,134,3,0,0,support,low,1,1
54,0.39,0.54,2,132,3,0,0,support,low,1,1
55,0.1,0.92,7,307,4,0,0,support,low,1,1
56,0.37,0.46,2,140,3,0,0,support,low,1,1
58,0.1,0.81,6,309,4,0,0,technical,low,1,1
60,0.85,1.0,4,225,5,0,0,technical,low,1,1
61,0.85,0.91,5,226,5,0,0,management,medium,1,2
62,0.11,0.93,7,308,4,0,0,IT,medium,1,2
63,0.1,0.95,6,244,5,0,0,IT,medium,1,2
64,0.36,0.56,2,132,3,0,0,IT,medium,1,2
66,0.81,0.7,6,161,4,0,0,IT,medium,1,2
68,0.9,0.98,4,264,6,0,0,product_mng,medium,1,2
69,0.76,0.86,5,223,5,1,0,product_mng,medium,1,2
70,0.43,0.5,2,135,3,0,0,product_mng,medium,1,2
72,0.09,0.77,5,275,4,0,0,product_mng,medium,1,2
75,0.11,0.97,6,277,4,0,0,product_mng,medium,1,2
77,0.1,0.83,6,295,4,0,0,product_mng,medium,1,2
80,0.39,0.56,2,142,3,0,0,accounting,low,1,1
81,0.45,0.54,2,140,3,0,0,support,low,1,1
82,0.38,0.49,2,151,3,0,0,technical,low,1,1
83,0.79,0.59,4,139,3,0,1,management,low,1,1
84,0.84,0.85,4,249,6,0,0,marketing,low,1,1
86,0.11,0.87,6,305,4,0,0,marketing,low,1,1
87,0.17,0.84,5,232,3,0,0,sales,low,1,1
88,0.44,0.45,2,132,3,0,0,sales,low,1,1
89,0.37,0.57,2,130,3,0,0,sales,low,1,1
90,0.1,0.79,6,291,4,0,0,sales,low,1,1
92,0.89,1.0,5,246,5,0,0,sales,low,1,1
93,0.42,0.48,2,143,3,0,0,sales,low,1,1
